auroc,aupr,Spec,Method,LR,Type,Track_name
0.8768123107804493,0.3360509472567648,Cattle,DeepSEA,1e-4,ATAC/DNaseSeq,ATAC_Adipose_M08_Peaks.bed
0.8385505734633899,0.3109435480787789,Cattle,DeepSEA,1e-4,ATAC/DNaseSeq,ATAC_Adipose_M22_Peaks.bed
0.9056095434831906,0.4196384917255897,Cattle,DeepSEA,1e-4,ATAC/DNaseSeq,ATAC_Cerebellum_M22_Peaks.bed
0.929240341158784,0.3812522973727221,Cattle,DeepSEA,1e-4,ATAC/DNaseSeq,ATAC_Cortex_M08_Peaks.bed
0.8865602780035922,0.3715654328890505,Cattle,DeepSEA,1e-4,ATAC/DNaseSeq,ATAC_Cortex_M22_Peaks.bed
0.9085352976918316,0.2653239569452629,Cattle,DeepSEA,1e-4,ATAC/DNaseSeq,ATAC_Hypothalamus_M08_Peaks.bed
0.9061286702894392,0.1895366104481524,Cattle,DeepSEA,1e-4,ATAC/DNaseSeq,ATAC_Hypothalamus_M22_Peaks.bed
0.8841004035907524,0.4181486547434355,Cattle,DeepSEA,1e-4,ATAC/DNaseSeq,ATAC_Liver_M08_Peaks.bed
0.8608863203156364,0.3743488683237991,Cattle,DeepSEA,1e-4,ATAC/DNaseSeq,ATAC_Liver_M22_Peaks.bed
0.8625260986523167,0.4532108509976644,Cattle,DeepSEA,1e-4,ATAC/DNaseSeq,ATAC_Lung_M08_Peaks.bed
0.8686188378846287,0.4585516998006206,Cattle,DeepSEA,1e-4,ATAC/DNaseSeq,ATAC_Lung_M22_Peaks.bed
0.8936578596572644,0.4180863062848178,Cattle,DeepSEA,1e-4,ATAC/DNaseSeq,ATAC_Muscle_M08_Peaks.bed
0.8848140893679529,0.4087988111775759,Cattle,DeepSEA,1e-4,ATAC/DNaseSeq,ATAC_Muscle_M22_Peaks.bed
0.8786231113081059,0.3779510543642825,Cattle,DeepSEA,1e-4,ATAC/DNaseSeq,ATAC_Spleen_M08_Peaks.bed
0.8247726638069887,0.340286982559215,Cattle,DeepSEA,1e-4,ATAC/DNaseSeq,ATAC_Spleen_M22_Peaks.bed
0.9939917373902624,0.6134429475172156,Cattle,DeepSEA,1e-4,CTCF/DMC1,CTCF_Adipose_M08_Peaks.bed
0.9494453127948428,0.4583085183930097,Cattle,DeepSEA,1e-4,CTCF/DMC1,CTCF_Adipose_M22_Peaks.bed
0.9391750078456113,0.6280573219474673,Cattle,DeepSEA,1e-4,CTCF/DMC1,CTCF_Cerebellum_M08_Peaks.bed
0.9367475393045912,0.6344997126261921,Cattle,DeepSEA,1e-4,CTCF/DMC1,CTCF_Cerebellum_M22_Peaks.bed
0.9831004806242536,0.684957704476353,Cattle,DeepSEA,1e-4,CTCF/DMC1,CTCF_Cortex_M08_Peaks.bed
0.975290806573802,0.6819462617692987,Cattle,DeepSEA,1e-4,CTCF/DMC1,CTCF_Cortex_M22_Peaks.bed
0.9894613879516712,0.7468793732468959,Cattle,DeepSEA,1e-4,CTCF/DMC1,CTCF_Hypothalamus_M08_Peaks.bed
0.9899458555453596,0.6938962181485407,Cattle,DeepSEA,1e-4,CTCF/DMC1,CTCF_Hypothalamus_M22_Peaks.bed
0.8433331008759923,0.396535174259845,Cattle,DeepSEA,1e-4,CTCF/DMC1,CTCF_Liver_M08_Peaks.bed
